"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","Pay-as-you-go","1 GB","4.3142","2019-09-24T00:00:00.000Z","0","4.3142"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","100","1/Day","215.7096","2019-09-24T00:00:00.000Z","49.9999","2.1571"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","200","1/Day","388.2773","2019-09-24T00:00:00.000Z","179.9997","1.9414"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","300","1/Day","560.845","2019-09-24T00:00:00.000Z","288.8869","1.8695"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","400","1/Day","719.0271","2019-09-24T00:00:00.000Z","384.6093","1.7976"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","500","1/Day","862.8384","2019-09-24T00:00:00.000Z","479.9947","1.7257"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","1000","1/Day","1682.535","2021-06-01T00:00:00.000Z","974.987","1.6825"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","2000","1/Day","3192.5022","2021-06-01T00:00:00.000Z","1897.4753","1.5963"
"2023-03-29T13:50:58.330Z","Sentinel","japaneast","AUD","5000","1/Day","7549.8364","2021-06-01T00:00:00.000Z","4729.5849","1.51"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","Pay-as-you-go","1 GB","4.339","2019-09-24T00:00:00.000Z","0","4.339"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","100","1/Day","216.9522","2019-09-24T00:00:00.000Z","50.0005","2.1695"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","200","1/Day","390.514","2019-09-24T00:00:00.000Z","180.0018","1.9526"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","300","1/Day","564.0757","2019-09-24T00:00:00.000Z","288.8844","1.8803"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","400","1/Day","723.169","2019-09-24T00:00:00.000Z","384.6030","1.8079"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","500","1/Day","867.8088","2019-09-24T00:00:00.000Z","480.0093","1.7356"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","1000","1/Day","1692.2271","2021-06-01T00:00:00.000Z","975.0099","1.6922"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","2000","1/Day","3210.8925","2021-06-01T00:00:00.000Z","1897.4663","1.6054"
"2023-04-12T11:28:34.468Z","Sentinel","japaneast","AUD","5000","1/Day","7593.3268","2021-06-01T00:00:00.000Z","4729.8660","1.5187"
